"Zeitstempel","In welchem Beschäftigungsverhältnis befinden Sie sich?","Ist Ihnen die VR/AR - Technologie bekannt?","In welchem Umfeld nutzen Sie VR/AR?","Wo haben Sie schonmal von VR/AR gehört?","Wie oft nutzen Sie VR/AR ?","In welchem Bereich nutzten Sie VR/AR beruflich?","In welchem Bereich nutzten Sie VR/AR privat?","Falls zutreffend erläutern Sie in kurzen Worten ihr privates Projekt mit VR/AR : ","Falls zutreffend erläutern Sie in kurzen Worten ihre berufliche Tätigkeit mit VR/AR : ","Welche Anwendungsfälle von VR/AR sind Ihrer Meinung nach am vielversprechendsten im Beruf/Ausbildung/Studium?","Welche Faktoren beeinflussen die Nutzung von VR/AR im Beruf/Ausbildung/Studium?","Inwiefern hat die Corona-Pandemie die Nutzung von VR/AR im Beruf/Ausbildung/Studium beeinflusst?","Wie zufrieden sind Sie mit der aktuellen Entwicklung von VR/AR im Beruf/Ausbildung/Studium?","Welche technischen Fortschritte wünschen Sie sich für die Zukunft von VR/AR im Beruf/Ausbildung/Studium?","Wie sehen Sie die Zukunft von VR/AR im Beruf/Ausbildung/Studium?","Welche Auswirkungen wird die verstärkte Nutzung von VR/AR auf den Arbeitsmarkt haben?","Welche Hürden und Hindernisse müssen noch überwunden werden, um eine breitere Nutzung von VR/AR im Beruf/Ausbildung/Studium zu erreichen?","Inwiefern spielt VR/AR Ihrer Meinung nach eine Rolle in der zukünftigen Ausbildung von Studierenden/Auszubildenden?","Wie können Unternehmen und Bildungseinrichtungen die Nutzung von VR/AR im Beruf/Ausbildung/Studium fördern?","Welche Bedeutung hat VR/AR Ihrer Meinung nach für die zukünftige Entwicklung der Informatikbranche?","VR/AR ist Ihnen noch Neuland? Geben Sie an falls zutreffend.","In welchem Kontext wurde VR/AR im beruflichen Kontext eingesetzt? ","Mit welcher Technologie haben Sie sich auseinandergesetzt?","Welche der Technologien haben Sie in Projekten/Arbeiten verwendet?","Wie oft wurde die Technologie angewandt?","Wiesehr wurde das Arbeiten mit der Technologie als Unterstützend empfunden?","Inwiefern war die Nutzung von VR/AR von produktivem Wert?","Beschreiben Sie stichpunktartig den positive Effekt beim Einsatz von VR/AR","Wie würden Sie ihre gesamte Erfahrung mit/Eindruck von VR/AR Technologie bewerten?","Wie wahrscheinlich ist es, dass Sie die Nutzung von  VR/AR weiter empfehlen?","Beschreiben Sie stichpunktartig Ihre Arbeit, bei der Sie VR/AR verwendet haben","Beschreiben Sie stichpunktartig in welchem Bereichen (beruflich oder privat) Sie VR/AR anwenden wollen und warum ","Haben Sie noch weitere Anmerkungen oder Ideen zum Thema VR/AR Nutzung und Entwicklung im Beruf/Ausbildung/Studium?"
"2023/03/22 11:24:30 AM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","Internet, Videos, Spiele, Nachrichten","Einmal pro Monat","","Gaming;Unterhaltung;Fitness","Hauptsächlich als Spielekonsole.","","Simulation von Gefahrensituationen;Interaktive Präsentationen von Produkten und Dienstleistungen","Kosten für Hardware und Software;Akzeptanz und Nutzenbewertung durch die Nutzer","Nutzung erst seit der Pandemie","5","verbesserte Bildqualität;bessere Interaktion und Haptik","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Kreativität und Innovationskraft der Unternehmen förder","hohe Kosten für Hardware und Software;Mangelnde Akzeptanz und Vertrauen der Nutzer;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","","","Virtual Reality;Augmented Reality;Mixed Reality","Virtual Reality;Augmented Reality;Mixed Reality","Seltener","5","5","","3","2","","",""
"2023/03/22 11:29:42 AM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat;Beruflich","Microsoft Hololens","Seltener","Gaming;Immobilien und Architektur","Gaming","Oculus Rift Gaming","Microsoft Hololens für eine Ausstellung von Affinis für ein Immoprojekt","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen;Interaktive Präsentationen von Produkten und Dienstleistungen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen;Akzeptanz und Nutzenbewertung durch die Nutzer","keinen EInfluss","2","verbesserte Bildqualität;bessere Interaktion und Haptik;einfachere Bedienung;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern;Es wird die Kreativität und Innovationskraft der Unternehmen förder","hohe Kosten für Hardware und Software;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","Den Einsatz von VR/AR in dem Arbeitsbereich ist ein interessanter Gedanke;Der Einsatz von VR/AR würde sich unterstützend auf die Arbeit auswirken","Architektur/Immobilien;Kommunikation (bspw. das Abhalten von Meetings)","Virtual Reality;Augmented Reality;Mixed Reality","Virtual Reality;Augmented Reality;Mixed Reality","Seltener","2","3","Räumliche Vorstellung","2","1","Immobilienprojektvorstellung","Gaming für bessere Immersion beim Spielen, Anwendung von Handwerklichen Prozessen für die Räumliche Vorstellungskraft.",""
"2023/03/22 11:33:56 AM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","Studium (Medieninformatik), Youtube","Einmal pro Monat","","Gaming","HTC Vive Pro zuhause zum Spielen","Keine berufliche Nutzung bis jetzt.","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen;Interaktive Präsentationen von Produkten und Dienstleistungen","Usability. Es muss schnell und verständlich zu bedienen sein.","keinen EInfluss","3","verbesserte Bildqualität;bessere Interaktion und Haptik;einfachere Bedienung;größere VIelfalt an Anwendungen;Eyetracking/Foveated Rendering","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.;Es ist wünschenswert wenn diese Technologie größeren Einzug in geeignete Fachbereiche findet.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine untergeordnete Rolle in der Branche spielen.","","Schulung/Ausbildung;Konstruktion/Design;Gesundheitswesen;Verkauf und Marketing;Kommunikation (bspw. das Abhalten von Meetings);Forschung und Entwicklung","Virtual Reality;Augmented Reality","Virtual Reality","Mehrmals in der Woche","2","2","Räumliches Verständnis vermitteln","3","3","Medizinische Visualisierung von CT Scans","Privat: Filme/Gaming Beruflich: Weiterbildung (falls sinnvoll)",""
"2023/03/22 11:45:40 AM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","Studium, Presse, Berufsumfeld","Einmal pro Monat","","Einzelhandel","Einrichtung, Virtuelle Anprobe","","virtuelles Training von Arbeitsprozessen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen;Akzeptanz und Nutzenbewertung durch die Nutzer;Datenschutz- und Sicherheitsbedenken","keinen EInfluss","3","bessere Interaktion und Haptik","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","Den Einsatz von VR/AR in dem Arbeitsbereich ist ein interessanter Gedanke","","Mixed Reality","keine von beiden","","3","3","","3","3","","",""
"2023/03/22 11:47:49 AM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","IT Nachrichten","Seltener","","Gaming","","","Simulation von Gefahrensituationen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen;Akzeptanz und Nutzenbewertung durch die Nutzer","keinen EInfluss;Nutzung erst seit der Pandemie","5","größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software;Mangelnde Akzeptanz und Vertrauen der Nutzer","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","Der Einsatz von VR/AR würde sich unterstützend auf die Arbeit auswirken","Konstruktion/Design;Architektur/Immobilien;Wartungen und Reperaturen;Logistik und Lagerhaltung;Forschung und Entwicklung","Virtual Reality","keine von beiden","Seltener","4","3","","3","2","","",""
"2023/03/22 11:48:50 AM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Freunde, Arbeit, Internet","Seltener","","Gaming","Vornehmlich Ego Shooter oder VR Chat","","virtuelles Training von Arbeitsprozessen;Im Management von Gebäuden und deren Infrakstruktur: Mithilfe von AR/VR können Fluchtwege aufgezeigt werden, Wasseranschlüsse, Verkabelungen, etc. Sind diese Datenpunkte erst einmal erfasst, lässt sich die Arbeit dann gut augmentieren.","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen;Akzeptanz und Nutzenbewertung durch die Nutzer;Datenschutz- und Sicherheitsbedenken","keinen EInfluss","3","Schaffung der infrastrukturellen Voraussetzungen für eine breite Nutzung von VR/AR-Lösungen.","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software;Datenschutz- und Sicherheitsbedenken;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","","","Virtual Reality;Augmented Reality;Mixed Reality","keine von beiden","Seltener","","","Visuelle Reize können durch weitere, nicht inherent visuelle, Datenpunkte angereicht werden und sind dem User somit bewusster.","3","4","","",""
"2023/03/22 11:50:13 AM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","VR-Gaming-Szene / AR-Pokemon Go","Seltener","","Gaming;Reisen/Tourismus;Unterhaltung;Immobilien und Architektur","Pokemon Go gespielt","","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen","Akzeptanz und Nutzenbewertung durch die Nutzer;Datenschutz- und Sicherheitsbedenken","häufigere Nutzung seit der Pandemie","3","größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern;Es wird die Kreativität und Innovationskraft der Unternehmen förder","hohe Kosten für Hardware und Software;Mangelnde Akzeptanz und Vertrauen der Nutzer;Datenschutz- und Sicherheitsbedenken","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Finanzielle Anreize für die Nutzung von VR/AR;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine untergeordnete Rolle in der Branche spielen.","Den Einsatz von VR/AR in dem Arbeitsbereich ist ein interessanter Gedanke","Konstruktion/Design;Architektur/Immobilien;Wartungen und Reperaturen;Logistik und Lagerhaltung;Archäologie und Geschichte;Forschung und Entwicklung","Augmented Reality","Augmented Reality","Seltener","4","4","","2","3","","Privat: Gaming, Immobilienbesichtigungen",""
"2023/03/22 12:07:58 PM OEZ","duales Studium","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Gaming Bereich","Seltener","Eigentlich gar nicht","Auch gar nicht","","","Simulation von Gefahrensituationen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen;Datenschutz- und Sicherheitsbedenken","häufigere Nutzung seit der Pandemie","4","größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird einen Wandel von bestehenden Positionen geben","Mangelnde Akzeptanz und Vertrauen der Nutzer;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne","Es wird eine untergeordnete Rolle in der Branche spielen.","Den Einsatz von VR/AR in dem Arbeitsbereich ist ein interessanter Gedanke;Über den Einsatz von VR/AR auf der Arbeit und dessen Auswirkung wurde nicht nachgedacht","","Virtual Reality;Augmented Reality","keine von beiden","Seltener","2","3","Immersion","2","2","","Gaming für die Immersion",""
"2023/03/22 12:12:08 PM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Gaming, MS Hololens, Einrichtungs-Apps (z.B. IKEA)","Seltener","gar nicht","gar nicht","","","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen;Akzeptanz und Nutzenbewertung durch die Nutzer","kann ich nicht beurteilen","4","verbesserte Bildqualität;bessere Interaktion und Haptik;einfachere Bedienung;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software;Mangelnde Akzeptanz und Vertrauen der Nutzer;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","Den Einsatz von VR/AR in dem Arbeitsbereich ist ein interessanter Gedanke;Der Einsatz von VR/AR würde sich unterstützend auf die Arbeit auswirken","Forschung und Entwicklung","Augmented Reality","Augmented Reality","Seltener","1","1","Sehr anschauliche Darstellung, ich konnte um das Modell herumlaufen","1","1","Forschungsprojekt zur Visualisierung von Aerodynamik von Flugzeugen","Modellüberprüfung, Einrichtung",""
"2023/03/22 2:33:46 PM OEZ","duales Studium","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Integrationsseminar DHBW","Seltener","Bildung","","","Integrationsseminar mit Thema wie VR sinnvoll in der Lehre eingesetzt werden kann ","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen;Akzeptanz und Nutzenbewertung durch die Nutzer;Datenschutz- und Sicherheitsbedenken","keinen EInfluss","2","einfachere Bedienung;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern;Es wird die Kreativität und Innovationskraft der Unternehmen förder","hohe Kosten für Hardware und Software;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine untergeordnete Rolle in der Branche spielen.","","Schulung/Ausbildung","Virtual Reality","Virtual Reality","Seltener","1","2","Anschaulichkeit","2","2","","",""
"2023/03/22 3:09:12 PM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Anfang der 1990er Jahre überall! ","Seltener","","Reisen/Tourismus;Freizeitparks, z.B. YULLBE ","Planetenfinder, Reisen in Städten, Übersetzungen","","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen;Interaktive Präsentationen von Produkten und Dienstleistungen;virtuelle Zusammenarbeit und Meetings","Verfügbarkeit von geeigneten Anwendungen;massiver Lag ","keinen EInfluss","4","verbesserte Bildqualität;bessere Interaktion und Haptik;größere VIelfalt an Anwendungen;Lag muss gegen 0 gehen. ","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern","Mangelnde Integration in bestehende Systeme und Prozesse;VR wird seit 30 Jahren immer wieder als Innovation verkauft. Warten wir mal ab was kommt....","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Konkrete Anwendungsfälle erarbeiten, die über reine POCs hinaus gehen. Z.B. YULLBE","Es wird eine untergeordnete Rolle in der Branche spielen.","","","Virtual Reality;Augmented Reality;Mixed Reality","keine von beiden","Seltener","4","3","","3","2","","Navigation um Wege besser kenntlich zu machen, Freizeitparks um Attraktionen anders zu erleben, ohne sie neu bauen zu müssen. ",""
"2023/03/22 6:05:19 PM OEZ","duales Studium","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","Freude und Internet","Einmal pro Monat","","Gaming","","","Simulation von Gefahrensituationen;Interaktive Präsentationen von Produkten und Dienstleistungen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen","keinen EInfluss","3","verbesserte Bildqualität;bessere Interaktion und Haptik;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine untergeordnete Rolle in der Branche spielen.","","","Virtual Reality;Augmented Reality;Mixed Reality","Virtual Reality;Augmented Reality;Mixed Reality","Seltener","3","3","","2","3","","",""
"2023/03/22 7:27:53 PM OEZ","Studium","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","Nachrichten, Werbung","Seltener","","","","","","","","","","","","","","","","","","Virtual Reality","keine von beiden","","","","","2","","","",""
"2023/03/24 4:20:33 PM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat","Gamingszene","Mehrere Male in der Woche","","Gaming;Fitness","","","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen;Interaktive Präsentationen von Produkten und Dienstleistungen","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen;Akzeptanz und Nutzenbewertung durch die Nutzer","","","bessere Interaktion und Haptik;einfachere Bedienung;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird neue Arbeitsplätze für Entwickler und Anwendungsbetreuer von VR/AR geben;Es wird die Produktivität und Effizienz der Arbeitnehmer steigern;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software;Mangelnde Akzeptanz und Vertrauen der Nutzer;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird eine wichtige Rolle bei der Vermittlung praktischer Erfahrungen spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Integration von VR/AR in bestehende Arbeitsprozesse und Lehrpläne;Finanzielle Anreize für die Nutzung von VR/AR;Zusammenarbeit mit VR/AR-Entwicklern und -Anbietern","Es wird eine entscheidende Rolle bei der Weiterentwicklung und Innovation der Branche spielen.","","","Virtual Reality;Augmented Reality;Mixed Reality","keine von beiden","","","","","1","1","","Informationssysteme mit AR nahtlos in die reale Welt holen (z.B. Power BI for Mixed Reality) um die Informationsverfügbarkeit bei der Arbeit für die Anwender noch weiter zu verbessern.","Sollte grade in der Medizin weiter entwickelt werden, z.B. MRT oder Röntgenbilder bei einer OP als Overlay bereitstellen. Oder die Ansätze für die Bekämpfung von Angststörungen in der Psychotherapie weiter ausbauen (wird jetzt schon von den Krankenkassen gefördert). Ausbildungen sollten mit dem technischen Fortschritt mitgehen und neue Entwicklungen auch im VR- und AR-Bereich mitnehmen, sodass solche Lösungen von neuen Fachkräften direkt mitgedacht werden."
"2023/03/29 12:42:39 PM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","noch nicht","IAA","Seltener","Immobilien und Architektur","Bildung","HR Kurse","Immobilien Visualisierung","virtuelles Training von Arbeitsprozessen;Simulation von Gefahrensituationen;Interaktive Präsentationen von Produkten und Dienstleistungen","Kosten für Hardware und Software;Datenschutz- und Sicherheitsbedenken","häufigere Nutzung seit der Pandemie","4","bessere Interaktion und Haptik;einfachere Bedienung;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden","Es wird bestehende Arbeitsplätze ersetzen und zu einem Rückgang der Beschäftigung führen;Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;Mangelnde Akzeptanz und Vertrauen der Nutzer;Datenschutz- und Sicherheitsbedenken;Mangelnde Integration in bestehende Systeme und Prozesse","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende;Finanzielle Anreize für die Nutzung von VR/AR","Es wird keine Rolle in der zukünftigen Entwicklung der Branche spielen.","Der Einsatz von VR/AR würde sich unterstützend auf die Arbeit auswirken","Schulung/Ausbildung;Konstruktion/Design;Architektur/Immobilien;Wartungen und Reperaturen;Logistik und Lagerhaltung;Archäologie und Geschichte;Technischer Support","Virtual Reality;Augmented Reality","Virtual Reality;Augmented Reality","Seltener","3","3","visualisierung ","2","2","einfach sicht der dinge","education - wichtig für schulungen","e-sports"
"2023/03/30 11:15:21 AM OEZ","Beruf","Ja --> perfekt Sie können einfach die Umfrage weiter beantworten","Privat;Beruflich","Alltägliches Leben","Mehrere Male in der Woche","Meetings","Gaming;Unterhaltung","Hauptsächlich Gaming","Online Meetingräume","virtuelles Training von Arbeitsprozessen;Interaktive Präsentationen von Produkten und Dienstleistungen;virtuelle Zusammenarbeit und Meetings","Kosten für Hardware und Software;Verfügbarkeit von geeigneten Anwendungen","häufigere Nutzung seit der Pandemie","3","verbesserte Bildqualität;bessere Interaktion und Haptik;größere VIelfalt an Anwendungen","VR/AR wird in einigen spezifischen Bereichen des Berufslebens eingesetzt werden;VR/AR wird in Zukunft keine Rolle im Berufsleben spielen","Es wird die Kreativität und Innovationskraft der Unternehmen förder","technische Limitierung;hohe Kosten für Hardware und Software","Es wird nur eine untergeordnete Rolle in der Ausbildung spielen.","Bereitstellung von VR/AR-Technologie und Schulungen für Mitarbeiter und Studierende","Es wird eine untergeordnete Rolle in der Branche spielen.","Der Einsatz von VR/AR würde sich unterstützend auf die Arbeit auswirken","Schulung/Ausbildung;Kommunikation (bspw. das Abhalten von Meetings)","Virtual Reality","Virtual Reality","Mehrmals in der Woche","4","2","Bessere Remote Interaktion","3","3","Meetings","Gaming","Nein"
"2023/03/30 11:17:05 AM OEZ","Studium","Nein --> In diesem Fall bitten wir Sie das kurzes Video im Anschluss anzuschauen","noch nicht","Studium","Seltener","","","","","","","","","","","","","","","","","","noch keiner von beiden","keine von beiden","Seltener","","","","3","3","","",""
